Age,Annual_Income_INR,Loan_Amount_INR,Credit_Score,Employment_Years,Existing_Loans,Loan_Type,Defaulted
38,1538687.0,3346369.0,658.0,18.0,3,Business,0
23,2252592.0,3388747.0,,21.0,1,Business,0
48,2143419.0,1556632.0,488.0,32.0,1,Home,0
26,1982414.0,207438.0,828.0,9.0,3,Personal,0
64,612707.0,915936.0,349.0,31.0,2,Personal,0
64,2629365.0,2951074.0,548.0,14.0,4,Home,1
41,2587117.0,2821685.0,709.0,7.0,1,Auto,0
48,1220576.0,1466100.0,690.0,24.0,2,Education,0
60,885305.0,3756779.0,678.0,17.0,1,Education,0
21,1326310.0,4724870.0,526.0,14.0,2,Auto,0
56,656982.0,615972.0,890.0,25.0,3,Home,0
41,425962.0,604999.0,,20.0,4,Auto,1
63,2806774.0,3351370.0,828.0,21.0,2,Education,0
55,2697537.0,4672884.0,645.0,33.0,0,Auto,0
33,2206209.0,2850121.0,718.0,13.0,1,Personal,0
30,1608165.0,3646466.0,383.0,3.0,2,Business,1
64,728118.0,1654255.0,496.0,23.0,4,Personal,0
30,2121948.0,590076.0,829.0,1.0,4,Education,0
33,1407405.0,625343.0,520.0,0.0,4,Business,0
57,1153154.0,1737051.0,475.0,1.0,2,Business,0
58,2986278.0,518648.0,883.0,12.0,2,Auto,0
44,1198982.0,3575943.0,621.0,26.0,3,Personal,0
22,2067427.0,2039645.0,,16.0,0,Auto,0
42,1003100.0,922894.0,693.0,16.0,2,Education,0
37,1658038.0,1111952.0,870.0,4.0,3,Business,0
56,1273572.0,1423716.0,623.0,23.0,1,Auto,0
34,513456.0,4324760.0,384.0,7.0,0,Business,1
30,1521187.0,115783.0,726.0,8.0,4,Personal,0
55,1490028.0,2079613.0,567.0,17.0,0,Education,0
45,1924943.0,329509.0,411.0,15.0,1,Personal,0
23,1972015.0,3167323.0,697.0,31.0,2,Auto,0
58,1539422.0,953261.0,351.0,31.0,2,Auto,0
37,818657.0,738863.0,383.0,1.0,3,Home,1
32,2897009.0,388531.0,724.0,3.0,2,Personal,0
44,516096.0,129942.0,320.0,4.0,2,Education,1
49,2855609.0,3528123.0,355.0,25.0,0,Business,1
63,1177639.0,1787317.0,590.0,8.0,1,Home,0
45,2301674.0,2402537.0,672.0,14.0,4,Education,0
56,2120695.0,3250508.0,307.0,23.0,4,Personal,1
46,1677111.0,1338719.0,423.0,23.0,3,Business,0
58,2415728.0,1763261.0,400.0,34.0,1,Education,1
21,2458697.0,4343279.0,392.0,24.0,0,Home,0
40,1316741.0,3456936.0,684.0,25.0,4,Business,0
48,741729.0,1351775.0,379.0,22.0,3,Personal,1
36,2327868.0,897094.0,597.0,5.0,2,Business,0
37,1835039.0,130249.0,330.0,26.0,2,Personal,0
60,1510185.0,2727965.0,677.0,,0,Auto,0
48,218179.0,4117133.0,629.0,30.0,4,Auto,0
32,2400305.0,2131565.0,598.0,31.0,2,Personal,0
47,1723155.0,1870407.0,,1.0,3,Education,0
62,2026839.0,163094.0,311.0,17.0,3,Home,1
50,799255.0,3408786.0,368.0,27.0,4,Auto,1
61,1088886.0,3283325.0,822.0,6.0,0,Education,0
54,1992803.0,3669794.0,322.0,22.0,3,Business,1
57,1943174.0,2411386.0,636.0,23.0,1,Auto,0
26,2343177.0,6632666.359065741,726.0,27.0,3,Education,0
27,1665355.0,4714763.0,508.0,24.0,0,Home,0
52,2038720.0,2925625.0,514.0,3.0,3,Business,0
52,507633.0,763926.0,722.0,18.0,2,Auto,0
45,2329816.0,503104.0,372.0,3.0,0,Auto,0
53,2014735.0,999511.0,573.0,12.0,2,Home,0
27,343492.0,940992.0,532.0,0.0,2,Personal,0
32,1712709.0,4241180.0,,33.0,4,Auto,1
36,425648.0,9067996.427075785,588.0,6.0,0,Personal,0
36,2788279.0,3074017.0,854.0,24.0,2,Home,0
63,803318.0,686260.0,569.0,22.0,4,Home,0
56,2361062.0,3461973.0,738.0,29.0,4,Education,0
33,,3106109.0,,6.0,2,Auto,0
27,1994829.0,2248635.0,809.0,16.0,2,Business,0
56,1566639.0,291411.0,693.0,32.0,1,Business,0
29,2248566.0,1743766.0,327.0,1.0,0,Home,1
52,936648.0,276218.0,,12.0,4,Business,0
31,1744718.0,1378467.0,766.0,31.0,0,Business,0
28,597348.0,3341809.0,373.0,21.0,4,Business,1
53,2686449.0,4071347.0,545.0,8.0,3,Education,0
43,1735604.0,3698838.0,709.0,16.0,3,Education,0
45,698515.0,3590000.0,797.0,17.0,4,Home,0
28,1138055.0,3928131.0,717.0,26.0,1,Business,0
42,2258591.0,3943973.0,510.0,10.0,3,Home,1
24,2634196.0,3121607.0,522.0,27.0,0,Home,1
60,226296.0,977580.0,659.0,7.0,2,Home,0
23,2256296.0,953044.0,881.0,17.0,0,Education,0
49,2897017.0,1471261.0,319.0,12.0,0,Education,1
61,1850037.0,4410625.0,722.0,32.0,0,Auto,0
49,2766661.0,4450994.0,420.0,14.0,4,Business,1
54,2797162.0,2137745.0,472.0,21.0,4,Personal,0
54,299074.0,515802.0,333.0,29.0,0,Education,0
48,723136.0,2468608.0,370.0,5.0,2,Personal,1
33,1668907.0,229170.0,844.0,,1,Business,0
35,2978550.0,4780006.0,834.0,18.0,1,Business,0
43,2858062.0,3363718.0,313.0,,3,Education,1
64,1546606.0,1507668.0,605.0,13.0,3,Personal,0
46,2217364.0,2926863.0,847.0,18.0,2,Home,0
24,282910.0,3843954.0,570.0,14.0,0,Home,0
46,1429510.0,2942782.0,352.0,9.0,4,Education,1
60,2678288.0,3813318.0,793.0,1.0,3,Personal,0
29,713271.0,2770964.0,859.0,1.0,0,Education,0
25,705042.0,4412805.0,762.0,20.0,1,Home,0
52,2461030.0,4217510.0,822.0,11.0,2,Business,0
40,2970171.0,2881213.0,623.0,9.0,4,Education,0
31,1231810.0,1314439.0,,11.0,4,Home,0
35,354525.0,4629841.0,742.0,1.0,3,Business,0
52,1148002.0,3574177.0,550.0,0.0,0,Education,0
48,2062577.0,810669.0,459.0,,4,Education,1
42,2749181.0,1020413.0,335.0,,1,Home,1
61,841075.0,3155472.0,497.0,27.0,1,Home,1
37,2239309.0,4876761.0,749.0,16.0,2,Business,0
46,1949922.0,81528.0,677.0,20.0,2,Auto,0
64,2661851.0,4747715.0,545.0,33.0,1,Business,0
27,232646.0,4642473.0,692.0,8.0,1,Education,0
62,1324702.0,700016.0,503.0,16.0,0,Education,0
46,,2332039.0,343.0,31.0,4,Education,0
45,1503793.0,1382736.0,614.0,,0,Home,0
30,584382.0,456464.0,707.0,13.0,2,Education,0
39,792947.0,2557644.0,505.0,24.0,2,Education,0
31,839629.0,670832.0,540.0,,2,Business,0
33,,3948837.0,340.0,4.0,4,Home,0
28,1324643.0,3670966.0,887.0,8.0,3,Business,0
60,883098.0,1802212.0,662.0,30.0,2,Auto,0
24,209879.0,2692969.0,394.0,20.0,2,Business,1
51,336615.0,2314238.0,839.0,0.0,0,Business,0
48,836572.0,3477968.0,443.0,21.0,0,Auto,0
31,2476148.0,2767093.0,358.0,22.0,3,Business,0
63,1684140.0,2062813.0,808.0,22.0,3,Education,0
21,2643413.0,3723433.0,812.0,,3,Education,0
58,1154183.0,4839545.0,321.0,0.0,3,Personal,1
44,410190.0,1996678.0,503.0,5.0,0,Home,0
51,,2052507.0,770.0,34.0,2,Education,0
61,1016708.0,4699790.0,583.0,16.0,0,Home,0
46,729087.0,1418983.0,671.0,22.0,1,Business,0
25,683843.0,3052824.0,797.0,19.0,1,Personal,0
40,949130.0,1161903.0,631.0,27.0,2,Education,0
61,1623249.0,4606909.0,326.0,17.0,3,Business,1
31,2387293.0,2246251.0,428.0,6.0,2,Personal,0
53,1178062.0,3272653.0,679.0,19.0,1,Business,0
58,1383759.0,2460331.0,806.0,23.0,2,Home,0
47,1666478.0,2519159.0,394.0,15.0,3,Business,0
54,2500775.0,2677484.0,877.0,12.0,0,Business,0
35,628410.0,4155001.0,476.0,27.0,3,Business,1
52,974426.0,863941.0,772.0,6.0,0,Personal,0
41,2743884.0,4796436.0,785.0,14.0,1,Business,0
25,2938659.0,1513396.0,574.0,22.0,4,Personal,0
26,2779098.0,3655052.0,722.0,22.0,2,Personal,0
58,768392.0,2279430.0,830.0,30.0,4,Auto,0
42,1286706.0,1999595.0,619.0,4.0,3,Business,0
38,663445.0,2487928.0,357.0,26.0,0,Education,1
34,2666590.0,3772248.0,572.0,9.0,3,Personal,0
30,,4017388.0,497.0,,3,Business,0
33,2442402.0,1708789.0,378.0,31.0,1,Education,1
51,1226437.0,2971277.0,340.0,22.0,3,Home,0
50,382235.0,4328837.0,544.0,,2,Education,0
23,2169124.0,4606467.0,322.0,28.0,1,Personal,1
50,787453.0,2390967.0,535.0,,4,Personal,0
26,604696.0,4331469.0,425.0,20.0,3,Personal,1
49,2734242.0,3212788.0,439.0,5.0,4,Auto,1
28,2888215.0,2914048.0,693.0,25.0,2,Education,0
64,599782.0,2358365.0,426.0,19.0,2,Business,0
63,547455.0,3886369.0,413.0,14.0,2,Business,1
64,1744309.0,3892848.0,824.0,19.0,4,Personal,0
53,1826013.0,4712389.0,527.0,14.0,4,Education,0
37,1661215.0,4293297.0,820.0,28.0,0,Home,0
31,1863574.0,653747.0,445.0,5.0,1,Education,0
33,292199.0,2658108.0,462.0,15.0,3,Business,1
31,2848766.0,1002303.0,468.0,0.0,1,Personal,1
51,917463.0,1542452.0,837.0,5.0,2,Education,0
48,705950.0,2516902.0,424.0,15.0,3,Auto,1
64,1440505.0,3134521.0,599.0,32.0,0,Personal,0
26,1584358.0,804719.0,549.0,6.0,1,Auto,0
61,534796.0,4209844.0,821.0,9.0,2,Personal,0
36,1785801.0,3449118.0,404.0,7.0,3,Business,1
24,1121887.0,4415251.0,812.0,20.0,3,Home,0
55,1072288.0,1661302.0,805.0,25.0,2,Education,0
46,709603.0,4420525.0,601.0,17.0,4,Education,0
32,1918671.0,3275097.0,529.0,3.0,1,Personal,0
31,1212753.0,2951718.0,363.0,19.0,3,Home,1
57,1592775.0,3546179.0,889.0,18.0,4,Home,0
45,2757929.0,856244.0,531.0,32.0,0,Business,0
38,2120463.0,618810.0,898.0,22.0,3,Auto,0
39,2597431.0,3284111.0,482.0,8.0,3,Education,1
43,1540416.0,9499990.521410728,618.0,17.0,0,Personal,0
58,334845.0,545911.0,391.0,1.0,0,Home,0
38,1273532.0,1341364.0,363.0,16.0,3,Education,1
46,2050827.0,2318314.0,518.0,15.0,2,Education,0
26,463672.0,2435495.0,546.0,23.0,0,Education,0
24,2687077.0,4781280.0,772.0,30.0,4,Home,0
64,2383643.0,4123019.0,356.0,0.0,0,Business,1
49,1293164.0,4501042.0,344.0,27.0,3,Education,1
54,401657.0,2731979.0,385.0,32.0,3,Home,1
37,1347728.0,705423.0,337.0,3.0,1,Home,0
63,2949312.0,1962696.0,481.0,0.0,4,Personal,0
63,996551.0,1331979.0,463.0,32.0,1,Business,0
36,1960439.0,1244607.0,425.0,9.0,0,Business,0
22,330775.0,3358080.0,506.0,2.0,1,Business,1
54,2604974.0,536676.0,566.0,20.0,3,Home,0
28,426406.0,487474.0,653.0,8.0,2,Home,0
33,335753.0,2305691.0,710.0,23.0,0,Business,0
62,2901731.0,153813.0,898.0,7.0,3,Home,0
28,2887448.0,3129316.0,421.0,,0,Business,0
50,429489.0,106682.0,807.0,23.0,1,Personal,0
52,1655482.0,1761567.0,768.0,9.0,1,Auto,0
56,1012344.0,1909982.0,432.0,34.0,0,Auto,1
50,1945234.0,1461897.0,678.0,3.0,0,Auto,0
21,1660461.0,2576404.0,617.0,8.0,1,Auto,0
63,1025217.0,1183190.0,876.0,10.0,0,Personal,0
59,1873820.0,4909938.0,424.0,12.0,1,Home,0
37,394499.0,4043976.0,750.0,26.0,0,Personal,0
40,2820916.0,3768542.0,507.0,29.0,2,Education,0
44,1441649.0,2085575.0,599.0,11.0,0,Home,0
42,581150.0,2533716.0,788.0,18.0,0,Business,0
49,2570128.0,391574.0,441.0,3.0,3,Education,1
42,1700392.0,546368.0,773.0,33.0,2,Education,0
64,1963998.0,4930222.0,868.0,22.0,1,Personal,0
29,2624724.0,634095.0,603.0,25.0,1,Education,0
57,1073275.0,1535737.0,855.0,6.0,4,Personal,0
30,1139944.0,4194458.0,,17.0,2,Education,0
56,2329708.0,1705531.0,329.0,3.0,2,Personal,1
57,2889403.0,985209.0,676.0,7.0,0,Home,0
48,421746.0,2335303.0,640.0,21.0,3,Education,0
48,2303715.0,3325063.0,508.0,25.0,1,Personal,0
62,410995.0,2016040.0,542.0,12.0,1,Auto,0
63,2836594.0,4506981.0,457.0,16.0,3,Auto,1
41,902221.0,3508842.0,445.0,14.0,3,Education,1
44,1738252.0,1651640.0,639.0,17.0,2,Personal,0
62,622618.0,2239686.0,391.0,26.0,3,Home,0
60,2563648.0,2582796.0,628.0,5.0,3,Education,0
22,462328.0,827275.0,471.0,33.0,0,Home,0
28,1127888.0,1718487.0,330.0,4.0,2,Personal,1
47,1525039.0,17536833.00359002,571.0,11.0,4,Auto,0
42,351521.0,1843834.0,394.0,28.0,4,Personal,1
57,518477.0,2321898.0,376.0,11.0,1,Home,1
47,2076213.0,1337852.0,450.0,24.0,3,Auto,0
49,2831866.0,4341823.0,441.0,33.0,0,Education,1
23,2746946.0,2629943.0,530.0,10.0,3,Auto,0
64,316775.0,3422752.0,427.0,22.0,1,Education,1
33,2330520.0,3088460.0,796.0,23.0,3,Education,0
30,1223612.0,3846819.0,579.0,17.0,4,Auto,0
56,966913.0,1674937.0,840.0,9.0,2,Auto,0
29,1352417.0,3730063.0,829.0,4.0,3,Home,0
47,2218265.0,520908.0,430.0,30.0,4,Auto,1
54,690846.0,3283327.0,760.0,24.0,4,Business,0
21,2676040.0,1147020.0,568.0,16.0,1,Auto,0
52,2508445.0,237920.0,870.0,27.0,2,Home,0
45,208724.0,1294504.0,559.0,,1,Business,0
49,1646876.0,2115988.0,350.0,1.0,0,Business,0
27,1938746.0,261540.0,432.0,1.0,2,Personal,1
23,1199781.0,1472617.0,304.0,26.0,0,Business,0
40,,4681759.0,,7.0,2,Education,1
40,1111531.0,1988359.0,483.0,26.0,4,Home,1
50,2186952.0,4826487.0,708.0,16.0,0,Personal,0
55,2891773.0,4090660.0,390.0,3.0,2,Auto,0
55,924203.0,1532735.0,735.0,30.0,2,Business,0
59,2802393.0,727861.0,488.0,4.0,0,Personal,0
47,1477752.0,343236.0,779.0,24.0,2,Education,0
46,1775460.0,2968188.0,682.0,27.0,1,Personal,0
34,2052175.0,2497120.0,621.0,18.0,1,Education,0
37,2384996.0,2456056.0,742.0,22.0,0,Personal,0
38,2386903.0,2153628.0,789.0,,4,Personal,0
49,1378393.0,3965461.0,432.0,16.0,3,Auto,1
40,1719123.0,4342442.0,725.0,29.0,0,Auto,0
47,1853384.0,1351609.0,549.0,22.0,0,Auto,0
38,258326.0,1206196.0,360.0,2.0,0,Personal,0
24,723292.0,3271226.0,861.0,12.0,0,Business,0
21,1914718.0,2175591.0,721.0,31.0,1,Personal,0
21,,4247704.0,775.0,34.0,0,Auto,0
46,1991123.0,3063002.0,522.0,1.0,4,Personal,0
40,224022.0,1123186.0,737.0,2.0,3,Business,0
43,284458.0,4819948.0,683.0,28.0,3,Education,0
30,2180698.0,3477600.0,618.0,9.0,4,Home,0
31,348317.0,3837718.0,524.0,19.0,0,Auto,0
61,603243.0,21188087.17501014,722.0,33.0,3,Personal,0
61,1655778.0,1600068.0,490.0,14.0,1,Business,0
25,1883568.0,4872641.0,378.0,0.0,3,Auto,1
21,,2124135.0,664.0,25.0,4,Auto,0
37,947157.0,3614324.0,321.0,31.0,3,Education,1
42,1555081.0,634141.0,847.0,1.0,4,Home,0
54,1480609.0,3617867.0,629.0,31.0,0,Personal,0
61,1397964.0,1029898.0,455.0,28.0,3,Personal,0
49,1388347.0,3496763.0,355.0,19.0,4,Auto,1
24,2948881.0,3856018.0,,22.0,1,Business,0
25,2132087.0,1527110.0,560.0,11.0,1,Auto,0
31,1235670.0,2995537.0,734.0,9.0,2,Education,0
41,300960.0,4293412.0,826.0,18.0,3,Home,0
55,1831329.0,2776727.0,777.0,9.0,0,Education,0
32,2444897.0,3598801.0,837.0,18.0,2,Business,0
46,1352738.0,3546091.0,834.0,25.0,3,Personal,0
39,1379280.0,1462764.0,680.0,23.0,1,Business,0
27,677965.0,986388.0,402.0,8.0,0,Education,0
27,2373089.0,827499.0,328.0,28.0,1,Personal,0
46,2951087.0,710667.0,782.0,28.0,3,Home,0
60,844938.0,1897912.0,356.0,27.0,0,Auto,0
25,592888.0,2099497.0,361.0,2.0,0,Home,0
41,942092.0,406858.0,347.0,22.0,2,Auto,1
34,1960352.0,2600916.0,666.0,3.0,0,Home,0
24,606497.0,2553950.0,846.0,13.0,3,Personal,0
43,459188.0,370109.0,857.0,12.0,4,Personal,0
62,2329700.0,2910959.0,844.0,27.0,4,Personal,0
40,1211403.0,289027.0,626.0,19.0,0,Auto,0
35,1616697.0,3892702.0,565.0,27.0,4,Personal,0
49,1923580.0,2584312.0,475.0,31.0,3,Business,0
28,424731.0,1183300.0,343.0,13.0,2,Auto,1
61,1403522.0,4480819.0,518.0,12.0,1,Personal,0
39,1730451.0,1606307.0,425.0,10.0,1,Personal,1
59,1186291.0,2646500.0,678.0,14.0,3,Home,0
48,615505.0,2349963.0,,8.0,2,Business,0
47,1499636.0,3901861.0,604.0,2.0,3,Business,0
24,1646846.0,2941455.0,499.0,4.0,0,Auto,0
35,300020.0,785558.0,384.0,27.0,2,Business,0
55,831796.0,4346622.0,340.0,14.0,4,Personal,1
57,266846.0,4355680.0,850.0,2.0,0,Auto,0
21,1605402.0,2520654.0,662.0,34.0,4,Education,0
23,642985.0,4378881.0,,6.0,0,Home,0
44,1738309.0,2581846.0,661.0,29.0,0,Home,0
47,576330.0,2030498.0,666.0,23.0,0,Education,0
60,990689.0,3556441.0,,30.0,0,Auto,1
56,2706214.0,3467370.0,530.0,13.0,2,Education,0
54,750846.0,2915548.0,369.0,15.0,2,Business,1
49,767476.0,2143013.0,887.0,3.0,0,Personal,0
44,2965524.0,2334282.0,788.0,2.0,3,Education,0
44,2854676.0,667854.0,533.0,,0,Education,0
62,769364.0,1214074.0,728.0,8.0,0,Business,0
24,2607698.0,4855188.0,593.0,3.0,3,Auto,0
23,2653763.0,266382.0,647.0,18.0,3,Personal,0
54,363148.0,359061.0,398.0,23.0,0,Personal,0
43,1853201.0,2639282.0,660.0,10.0,1,Home,0
43,315827.0,3961872.0,657.0,14.0,1,Personal,0
25,1847128.0,175154.0,429.0,30.0,3,Personal,0
51,1003767.0,4847621.0,818.0,7.0,0,Personal,0
61,2026636.0,2643699.0,682.0,1.0,4,Personal,0
26,2865213.0,1366444.0,861.0,2.0,4,Business,0
57,490714.0,183099.0,363.0,2.0,0,Home,0
30,287995.0,1244455.0,695.0,,0,Education,0
60,2337810.0,4307413.0,480.0,11.0,0,Home,0
27,,1664713.0,886.0,13.0,4,Auto,0
59,1447155.0,312322.0,488.0,22.0,4,Education,1
58,2671168.0,647009.0,482.0,12.0,3,Home,0
41,1151463.0,1879326.0,791.0,15.0,2,Home,0
40,2743440.0,700050.0,879.0,16.0,3,Home,0
23,900948.0,2675424.0,469.0,17.0,3,Home,0
42,268582.0,3020525.0,621.0,12.0,1,Home,0
24,637734.0,3140428.0,471.0,25.0,3,Home,1
48,343775.0,4069592.0,583.0,30.0,3,Business,0
32,1822320.0,4476663.0,665.0,16.0,3,Business,0
58,779779.0,2030715.0,410.0,31.0,3,Education,1
56,2567339.0,779438.0,377.0,0.0,2,Personal,1
61,2662508.0,1939688.0,,,1,Home,0
25,2816095.0,3203716.0,535.0,18.0,4,Personal,0
33,2012867.0,3189503.0,392.0,27.0,0,Business,0
43,2627636.0,3227798.0,333.0,1.0,4,Auto,1
50,597152.0,4844544.0,780.0,28.0,1,Home,0
57,1593352.0,3454202.0,703.0,28.0,3,Education,0
45,550912.0,148113.0,521.0,18.0,4,Personal,0
47,2160783.0,4693233.0,789.0,27.0,3,Education,0
34,2929617.0,3961927.0,639.0,33.0,2,Home,0
56,2847349.0,3218464.0,812.0,30.0,2,Personal,0
59,1292734.0,3175463.0,898.0,18.0,1,Personal,0
36,2960878.0,775704.0,551.0,31.0,4,Home,0
42,2513349.0,1942789.0,,28.0,2,Auto,0
41,2159304.0,3398073.0,826.0,8.0,1,Home,0
41,968278.0,3392299.0,441.0,6.0,1,Education,0
28,2228277.0,3450062.0,610.0,11.0,1,Business,0
36,,2724932.0,684.0,30.0,4,Business,0
51,1670634.0,1983308.0,881.0,17.0,4,Business,0
62,2969970.0,2589585.0,611.0,27.0,1,Personal,0
30,527526.0,1289981.0,578.0,20.0,0,Personal,0
52,1245144.0,3569345.0,865.0,8.0,4,Home,0
54,1322895.0,3795985.0,645.0,33.0,4,Personal,0
29,473314.0,3946001.0,686.0,33.0,0,Education,0
37,844240.0,964065.0,601.0,23.0,4,Home,0
31,2901585.0,1056224.0,806.0,15.0,4,Education,0
52,2035003.0,3580311.0,546.0,27.0,2,Business,0
30,2140634.0,1671345.0,787.0,,0,Education,0
42,2211022.0,1304305.0,538.0,5.0,2,Business,0
37,2987690.0,3748628.0,828.0,10.0,0,Personal,0
24,2507396.0,137743.0,,3.0,0,Home,0
45,2961551.0,4124027.0,651.0,13.0,0,Auto,0
41,214990.0,329708.0,453.0,12.0,4,Education,1
57,2958953.0,3454733.0,809.0,14.0,1,Home,0
58,1191725.0,1671467.0,485.0,,3,Auto,1
21,2426479.0,4155231.0,894.0,23.0,1,Home,0
45,2212039.0,3655581.0,866.0,10.0,4,Auto,0
56,1669065.0,1985411.0,724.0,34.0,4,Home,0
37,2208580.0,1754449.0,361.0,24.0,3,Business,1
61,2289843.0,2867527.0,700.0,22.0,4,Auto,0
44,2951663.0,323468.0,358.0,6.0,0,Home,0
22,2500313.0,3735507.0,441.0,4.0,2,Auto,0
60,,2488525.0,765.0,31.0,2,Business,0
35,,3408259.0,448.0,27.0,0,Auto,0
52,2414934.0,308590.0,746.0,2.0,1,Auto,0
59,988797.0,2026952.0,473.0,29.0,2,Home,0
26,2631500.0,3369858.0,610.0,4.0,0,Education,0
21,598216.0,2277199.0,361.0,32.0,1,Business,1
43,252499.0,4779950.0,466.0,19.0,2,Home,1
59,1505599.0,3267071.0,402.0,29.0,0,Personal,0
37,2628507.0,295258.0,327.0,21.0,2,Auto,0
54,1392555.0,1649367.0,895.0,21.0,2,Personal,0
61,2445560.0,884337.0,807.0,28.0,2,Home,0
49,571603.0,2996252.0,433.0,20.0,3,Education,1
29,2628079.0,203306.0,358.0,17.0,1,Business,0
33,925311.0,2354839.0,389.0,10.0,2,Home,0
26,,2047055.0,369.0,9.0,0,Education,1
26,2662448.0,4707399.0,484.0,34.0,3,Home,0
40,1401507.0,4707684.0,737.0,25.0,4,Education,0
23,1690194.0,2235256.0,871.0,3.0,4,Personal,0
37,,3485978.0,773.0,9.0,1,Education,0
32,2177146.0,4974181.0,467.0,15.0,0,Business,0
21,2443778.0,543467.0,877.0,29.0,3,Personal,0
37,1779872.0,3778454.0,423.0,2.0,0,Auto,0
23,1329375.0,360541.0,512.0,33.0,3,Personal,0
46,2051246.0,2853022.0,481.0,24.0,3,Personal,0
35,2532170.0,1528216.0,370.0,3.0,4,Auto,1
56,1199529.0,363419.0,855.0,9.0,1,Personal,0
52,1527873.0,3774050.0,494.0,12.0,1,Personal,0
52,776380.0,721377.0,868.0,5.0,0,Auto,0
24,2541059.0,2226524.0,591.0,6.0,3,Auto,0
38,1821968.0,1178298.0,356.0,27.0,3,Business,0
39,2452507.0,2013169.0,599.0,14.0,2,Personal,0
63,1688221.0,4799708.0,617.0,29.0,1,Personal,0
55,2243303.0,1528508.0,670.0,9.0,3,Personal,0
60,1992470.0,2468034.0,382.0,11.0,0,Business,1
34,1172461.0,2954040.0,393.0,16.0,4,Personal,1
53,228887.0,2281858.0,566.0,29.0,4,Auto,0
34,1687964.0,1672230.0,675.0,0.0,1,Auto,0
54,2469758.0,4633382.0,460.0,23.0,1,Auto,0
24,451420.0,2870507.0,801.0,20.0,2,Auto,0
44,1844306.0,3685999.0,676.0,31.0,1,Education,0
49,1178778.0,395270.0,411.0,,3,Auto,0
39,2833719.0,3002589.0,877.0,12.0,3,Business,0
26,845026.0,4019775.0,578.0,20.0,3,Education,1
53,863621.0,2250205.0,732.0,17.0,3,Personal,0
60,2956986.0,529130.0,541.0,25.0,2,Auto,0
39,1864278.0,4091768.0,521.0,4.0,1,Personal,1
21,2063398.0,1817150.0,,4.0,1,Auto,0
25,2717293.0,4491181.0,303.0,30.0,1,Auto,1
47,2641470.0,2520294.0,619.0,27.0,2,Education,0
36,2225131.0,392033.0,620.0,12.0,2,Auto,0
26,2517231.0,235070.0,307.0,10.0,3,Auto,1
60,1491527.0,3435191.0,351.0,0.0,2,Home,1
33,404470.0,4198731.0,441.0,23.0,2,Business,1
55,1554444.0,2591899.0,579.0,12.0,0,Business,0
39,1783527.0,4892484.0,387.0,17.0,3,Personal,1
32,609336.0,2462712.0,459.0,23.0,3,Personal,1
36,824559.0,3444311.0,327.0,28.0,0,Education,1
63,2888828.0,3095023.0,827.0,27.0,1,Personal,0
30,1300911.0,2295456.0,571.0,21.0,0,Home,0
45,2340467.0,3912525.0,399.0,,0,Personal,1
40,2230245.0,1780404.0,503.0,10.0,0,Auto,0
51,1650095.0,4441432.0,489.0,19.0,2,Personal,0
24,249334.0,4493640.0,845.0,12.0,0,Personal,0
64,2484116.0,950441.0,593.0,23.0,4,Auto,0
43,1440844.0,535679.0,643.0,23.0,0,Home,0
22,2100708.0,3201986.0,352.0,16.0,1,Business,1
42,406823.0,2465255.0,346.0,4.0,1,Home,1
57,1953542.0,609190.0,721.0,29.0,1,Home,0
28,,3735470.0,764.0,13.0,0,Education,0
27,2459477.0,2184758.0,852.0,14.0,3,Education,0
34,879590.0,3512841.0,728.0,8.0,1,Auto,0
23,2041041.0,4727233.0,696.0,13.0,0,Education,0
36,989097.0,1434399.0,493.0,,1,Business,0
39,489169.0,3285356.0,365.0,21.0,2,Auto,1
38,2713901.0,4161050.0,854.0,30.0,2,Education,0
36,1163401.0,430929.0,775.0,12.0,0,Personal,0
28,2112669.0,1873821.0,325.0,16.0,1,Education,1
53,2155481.0,4257939.0,398.0,0.0,1,Business,1
32,2816134.0,1699382.0,775.0,13.0,4,Education,0
31,,3209137.0,872.0,34.0,1,Auto,0
25,523392.0,119064.0,381.0,0.0,3,Personal,1
47,2582353.0,2062968.0,697.0,26.0,2,Auto,0
32,1852108.0,3416854.0,692.0,21.0,1,Personal,0
37,401703.0,3817632.0,343.0,33.0,3,Personal,1
26,2656327.0,1986249.0,777.0,8.0,0,Business,0
53,715728.0,992060.0,390.0,31.0,2,Home,1
25,267173.0,415589.0,628.0,19.0,0,Business,0
48,1834936.0,478963.0,713.0,26.0,1,Home,0
34,2754543.0,748645.0,409.0,2.0,0,Home,0
25,434046.0,1012388.0,518.0,10.0,2,Business,0
53,2492007.0,4213960.0,762.0,23.0,0,Education,0
61,556338.0,3701815.0,814.0,28.0,0,Business,0
39,1466702.0,1234169.0,852.0,4.0,0,Auto,0
42,2741410.0,2453382.0,556.0,32.0,3,Auto,0
25,907717.0,3341080.0,492.0,7.0,3,Auto,0
22,2918063.0,2210418.0,,18.0,1,Auto,0
50,2952878.0,3177736.0,758.0,3.0,0,Home,0
59,324716.0,3357553.0,681.0,34.0,3,Home,0
24,209907.0,1541397.0,793.0,29.0,2,Business,0
53,1082257.0,3133651.0,396.0,,2,Personal,0
33,651095.0,2766411.0,523.0,2.0,0,Personal,0
40,1707291.0,1529137.0,580.0,15.0,1,Home,0
27,1165701.0,4554888.0,632.0,7.0,3,Education,0
